,p_grid,p_wind,p_computing_system,computing_system_info.mpm0,computing_system_info.mpm1,carbon_intensity,battery_soc,battery_min_soc
2020-01-01 00:00:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6,0.3
2020-01-01 00:01:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6020220453403813,0.3
2020-01-01 00:02:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6040440906807627,0.3
2020-01-01 00:03:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.606066136021144,0.3
2020-01-01 00:04:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6080881813615253,0.3
2020-01-01 00:05:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6101102267019066,0.3
2020-01-01 00:06:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.612132272042288,0.3
2020-01-01 00:07:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6141543173826693,0.3
2020-01-01 00:08:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6161763627230507,0.3
2020-01-01 00:09:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.618198408063432,0.3
2020-01-01 00:10:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6202204534038134,0.3
2020-01-01 00:11:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6222424987441947,0.3
2020-01-01 00:12:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.624264544084576,0.3
2020-01-01 00:13:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6262865894249573,0.3
2020-01-01 00:14:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.3198751441949,0.6283086347653387,0.3
2020-01-01 00:15:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.63033068010572,0.3
2020-01-01 00:16:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.6323527254461013,0.3
2020-01-01 00:17:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.6343747707864826,0.3
2020-01-01 00:18:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.636396816126864,0.3
2020-01-01 00:19:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.6384188614672454,0.3
2020-01-01 00:20:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.6404409068076267,0.3
2020-01-01 00:21:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.642462952148008,0.3
2020-01-01 00:22:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.6444849974883893,0.3
2020-01-01 00:23:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.6465070428287707,0.3
2020-01-01 00:24:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.648529088169152,0.3
2020-01-01 00:25:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.6505511335095333,0.3
2020-01-01 00:26:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.6525731788499146,0.3
2020-01-01 00:27:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.654595224190296,0.3
2020-01-01 00:28:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.6566172695306773,0.3
2020-01-01 00:29:00,0.0,29.205635267661002,-9.794,2.194,7.6,353.5484876655179,0.6586393148710586,0.3
2020-01-01 00:30:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.66066136021144,0.3
2020-01-01 00:31:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.6626834055518214,0.3
2020-01-01 00:32:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.6647054508922027,0.3
2020-01-01 00:33:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.666727496232584,0.3
2020-01-01 00:34:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.6687495415729653,0.3
2020-01-01 00:35:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.6707715869133467,0.3
2020-01-01 00:36:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.672793632253728,0.3
2020-01-01 00:37:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.6748156775941093,0.3
2020-01-01 00:38:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.6768377229344906,0.3
2020-01-01 00:39:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.678859768274872,0.3
2020-01-01 00:40:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.6808818136152534,0.3
2020-01-01 00:41:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.6829038589556347,0.3
2020-01-01 00:42:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.684925904296016,0.3
2020-01-01 00:43:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.6869479496363973,0.3
2020-01-01 00:44:00,0.0,29.205635267661002,-9.794,2.194,7.6,351.2523352831814,0.6889699949767787,0.3
2020-01-01 00:45:00,0.0,29.205635267661002,-9.794,2.194,7.6,350.14732375240465,0.69099204031716,0.3
