,p_grid,p_wind,p_computing_system,computing_system_info.mpm0,computing_system_info.mpm1,carbon_intensity,battery_soc,battery_min_soc
2020-01-01 00:00:00,0.0,20.028170380871043,-9.794,2.194,7.6,353.3198751441949,0.6,0.3
2020-01-01 00:01:00,0.0,20.028170380871043,-9.794,2.194,7.6,353.3198751441949,0.6010660594146741,0.3
2020-01-01 00:02:00,0.0,20.028170380871043,-9.794,2.194,7.6,353.3198751441949,0.6021321188293481,0.3
2020-01-01 00:03:00,0.0,20.028170380871043,-9.794,2.194,7.6,353.3198751441949,0.6031981782440222,0.3
2020-01-01 00:04:00,0.0,20.028170380871043,-9.794,2.194,7.6,353.3198751441949,0.6042642376586963,0.3
2020-01-01 00:05:00,0.0,16.876617924937477,-9.794,2.194,7.6,353.3198751441949,0.6050020103592106,0.3
2020-01-01 00:06:00,0.0,16.876617924937477,-9.794,2.194,7.6,353.3198751441949,0.605739783059725,0.3
2020-01-01 00:07:00,0.0,16.876617924937477,-9.794,2.194,7.6,353.3198751441949,0.6064775557602393,0.3
2020-01-01 00:08:00,0.0,16.876617924937477,-9.794,2.194,7.6,353.3198751441949,0.6072153284607537,0.3
2020-01-01 00:09:00,0.0,16.876617924937477,-9.794,2.194,7.6,353.3198751441949,0.607953101161268,0.3
2020-01-01 00:10:00,0.0,14.824441875721709,-9.794,2.194,7.6,353.3198751441949,0.6084771055233223,0.3
2020-01-01 00:11:00,0.0,14.824441875721709,-9.794,2.194,7.6,353.3198751441949,0.6090011098853767,0.3
2020-01-01 00:12:00,0.0,14.824441875721709,-9.794,2.194,7.6,353.3198751441949,0.609525114247431,0.3
2020-01-01 00:13:00,0.0,14.824441875721709,-9.794,2.194,7.6,353.3198751441949,0.6100491186094854,0.3
2020-01-01 00:14:00,0.0,14.824441875721709,-9.794,2.194,7.6,353.3198751441949,0.6105731229715398,0.3
2020-01-01 00:15:00,0.0,13.138726958633432,-9.794,2.194,7.6,353.5484876655179,0.6109215320297308,0.3
2020-01-01 00:16:00,0.0,13.138726958633432,-9.794,2.194,7.6,353.5484876655179,0.6112699410879218,0.3
2020-01-01 00:17:00,0.0,13.138726958633432,-9.794,2.194,7.6,353.5484876655179,0.6116183501461127,0.3
2020-01-01 00:18:00,0.0,13.138726958633432,-9.794,2.194,7.6,353.5484876655179,0.6119667592043037,0.3
2020-01-01 00:19:00,0.0,13.138726958633432,-9.794,2.194,7.6,353.5484876655179,0.6123151682624947,0.3
2020-01-01 00:20:00,0.0,11.732539631742224,-9.794,2.194,7.6,353.5484876655179,0.6125170994741345,0.3
2020-01-01 00:21:00,0.0,11.732539631742224,-9.794,2.194,7.6,353.5484876655179,0.6127190306857743,0.3
2020-01-01 00:22:00,0.0,11.732539631742224,-9.794,2.194,7.6,353.5484876655179,0.6129209618974141,0.3
2020-01-01 00:23:00,0.0,11.732539631742224,-9.794,2.194,7.6,353.5484876655179,0.6131228931090539,0.3
2020-01-01 00:24:00,0.0,11.732539631742224,-9.794,2.194,7.6,353.5484876655179,0.6133248243206938,0.3
2020-01-01 00:25:00,0.0,10.539559590911374,-9.794,2.194,7.6,353.5484876655179,0.6134024867780804,0.3
2020-01-01 00:26:00,0.0,10.539559590911374,-9.794,2.194,7.6,353.5484876655179,0.6134801492354669,0.3
2020-01-01 00:27:00,0.0,10.539559590911374,-9.794,2.194,7.6,353.5484876655179,0.6135578116928535,0.3
2020-01-01 00:28:00,0.0,10.539559590911374,-9.794,2.194,7.6,353.5484876655179,0.6136354741502401,0.3
2020-01-01 00:29:00,0.0,10.539559590911374,-9.794,2.194,7.6,353.5484876655179,0.6137131366076267,0.3
2020-01-01 00:30:00,0.0,9.400807090896233,-9.794,2.194,7.6,351.2523352831814,0.6136721790129284,0.3
2020-01-01 00:31:00,0.0,9.400807090896233,-9.794,2.194,7.6,351.2523352831814,0.6136312214182301,0.3
2020-01-01 00:32:00,0.0,9.400807090896233,-9.794,2.194,7.6,351.2523352831814,0.6135902638235318,0.3
2020-01-01 00:33:00,0.0,9.400807090896233,-9.794,2.194,7.6,351.2523352831814,0.6135493062288334,0.3
2020-01-01 00:34:00,0.0,9.400807090896233,-9.794,2.194,7.6,351.2523352831814,0.6135083486341351,0.3
2020-01-01 00:35:00,0.0,8.099377139856907,-9.794,2.194,7.6,351.2523352831814,0.6133318254195369,0.3
2020-01-01 00:36:00,0.0,8.099377139856907,-9.794,2.194,7.6,351.2523352831814,0.6131553022049386,0.3
2020-01-01 00:37:00,0.0,8.099377139856907,-9.794,2.194,7.6,351.2523352831814,0.6129787789903405,0.3
2020-01-01 00:38:00,0.0,8.099377139856907,-9.794,2.194,7.6,351.2523352831814,0.6128022557757423,0.3
2020-01-01 00:39:00,0.0,8.099377139856907,-9.794,2.194,7.6,351.2523352831814,0.612625732561144,0.3
2020-01-01 00:40:00,0.0,6.122927410760394,-9.794,2.194,7.6,351.2523352831814,0.6122433291664316,0.3
2020-01-01 00:41:00,0.0,6.122927410760394,-9.794,2.194,7.6,351.2523352831814,0.6118609257717192,0.3
2020-01-01 00:42:00,0.0,6.122927410760394,-9.794,2.194,7.6,351.2523352831814,0.6114785223770068,0.3
2020-01-01 00:43:00,0.0,6.122927410760394,-9.794,2.194,7.6,351.2523352831814,0.6110961189822944,0.3
2020-01-01 00:44:00,0.0,6.122927410760394,-9.794,2.194,7.6,351.2523352831814,0.6107137155875819,0.3
2020-01-01 00:45:00,0.0,3.524647058613167,-9.794,2.194,7.6,350.14732375240465,0.6100606579895208,0.3
