,p_grid,p_solar,p_wind,p_computing_system,computing_system_info.mpm0,computing_system_info.mpm1,carbon_intensity,battery_soc,battery_min_soc
2020-06-11 00:00:00,0.0,0.0,14.136169925692547,-9.794,2.194,7.6,283.5927906653702,0.6,0.6
2020-06-11 00:01:00,0.0,0.0,14.136169925692547,-9.794,2.194,7.6,283.5927906653702,0.6004523093672597,0.6
2020-06-11 00:02:00,0.0,0.0,14.136169925692547,-9.794,2.194,7.6,283.5927906653702,0.6009046187345193,0.6
2020-06-11 00:03:00,0.0,0.0,14.136169925692547,-9.794,2.194,7.6,283.5927906653702,0.601356928101779,0.6
2020-06-11 00:04:00,0.0,0.0,14.136169925692547,-9.794,2.194,7.6,283.5927906653702,0.6018092374690386,0.6
2020-06-11 00:05:00,0.0,0.0,13.09839550983268,-9.794,2.194,7.6,283.5927906653702,0.6021534453346462,0.6
2020-06-11 00:06:00,0.0,0.0,13.09839550983268,-9.794,2.194,7.6,283.5927906653702,0.6024976532002537,0.6
2020-06-11 00:07:00,0.0,0.0,13.09839550983268,-9.794,2.194,7.6,283.5927906653702,0.6028418610658612,0.6
2020-06-11 00:08:00,0.0,0.0,13.09839550983268,-9.794,2.194,7.6,283.5927906653702,0.6031860689314688,0.6
2020-06-11 00:09:00,0.0,0.0,13.09839550983268,-9.794,2.194,7.6,283.5927906653702,0.6035302767970763,0.6
2020-06-11 00:10:00,0.0,0.0,12.564186429296823,-9.794,2.194,7.6,283.5927906653702,0.6038188378834615,0.6
2020-06-11 00:11:00,0.0,0.0,12.564186429296823,-9.794,2.194,7.6,283.5927906653702,0.6041073989698466,0.6
2020-06-11 00:12:00,0.0,0.0,12.564186429296823,-9.794,2.194,7.6,283.5927906653702,0.6043959600562316,0.6
2020-06-11 00:13:00,0.0,0.0,12.564186429296823,-9.794,2.194,7.6,283.5927906653702,0.6046845211426168,0.6
2020-06-11 00:14:00,0.0,0.0,12.564186429296823,-9.794,2.194,7.6,283.5927906653702,0.6049730822290019,0.6
2020-06-11 00:15:00,0.0,0.0,12.509343027928043,-9.794,2.194,7.6,282.9308323563892,0.6052559304610777,0.6
2020-06-11 00:16:00,0.0,0.0,12.509343027928043,-9.794,2.194,7.6,282.9308323563892,0.6055387786931535,0.6
2020-06-11 00:17:00,0.0,0.0,12.509343027928043,-9.794,2.194,7.6,282.9308323563892,0.6058216269252293,0.6
2020-06-11 00:18:00,0.0,0.0,12.509343027928043,-9.794,2.194,7.6,282.9308323563892,0.606104475157305,0.6
2020-06-11 00:19:00,0.0,0.0,12.509343027928043,-9.794,2.194,7.6,282.9308323563892,0.6063873233893808,0.6
2020-06-11 00:20:00,0.0,0.0,12.509343027928043,-9.794,2.194,7.6,282.9308323563892,0.6066701716214566,0.6
2020-06-11 00:21:00,0.0,0.0,12.509343027928043,-9.794,2.194,7.6,282.9308323563892,0.6069530198535324,0.6
2020-06-11 00:22:00,0.0,0.0,12.509343027928043,-9.794,2.194,7.6,282.9308323563892,0.6072358680856083,0.6
2020-06-11 00:23:00,0.0,0.0,12.509343027928043,-9.794,2.194,7.6,282.9308323563892,0.6075187163176841,0.6
2020-06-11 00:24:00,0.0,0.0,12.509343027928043,-9.794,2.194,7.6,282.9308323563892,0.6078015645497599,0.6
2020-06-11 00:25:00,0.0,0.0,12.454502241636572,-9.794,2.194,7.6,282.9308323563892,0.6080787001999303,0.6
2020-06-11 00:26:00,0.0,0.0,12.454502241636572,-9.794,2.194,7.6,282.9308323563892,0.6083558358501008,0.6
2020-06-11 00:27:00,0.0,0.0,12.454502241636572,-9.794,2.194,7.6,282.9308323563892,0.6086329715002712,0.6
2020-06-11 00:28:00,0.0,0.0,12.454502241636572,-9.794,2.194,7.6,282.9308323563892,0.6089101071504417,0.6
2020-06-11 00:29:00,0.0,0.0,12.454502241636572,-9.794,2.194,7.6,282.9308323563892,0.6091872428006121,0.6
2020-06-11 00:30:00,0.0,0.0,12.344818053976324,-9.794,2.194,7.6,283.8957169892373,0.6094529530145679,0.6
2020-06-11 00:31:00,0.0,0.0,12.344818053976324,-9.794,2.194,7.6,283.8957169892373,0.6097186632285239,0.6
2020-06-11 00:32:00,0.0,0.0,12.344818053976324,-9.794,2.194,7.6,283.8957169892373,0.6099843734424797,0.6
2020-06-11 00:33:00,0.0,0.0,12.344818053976324,-9.794,2.194,7.6,283.8957169892373,0.6102500836564356,0.6
2020-06-11 00:34:00,0.0,0.0,12.344818053976324,-9.794,2.194,7.6,283.8957169892373,0.6105157938703915,0.6
2020-06-11 00:35:00,0.0,0.0,12.454502241636572,-9.794,2.194,7.6,283.8957169892373,0.6107929295205619,0.6
2020-06-11 00:36:00,0.0,0.0,12.454502241636572,-9.794,2.194,7.6,283.8957169892373,0.6110700651707324,0.6
2020-06-11 00:37:00,0.0,0.0,12.454502241636572,-9.794,2.194,7.6,283.8957169892373,0.6113472008209028,0.6
2020-06-11 00:38:00,0.0,0.0,12.454502241636572,-9.794,2.194,7.6,283.8957169892373,0.6116243364710733,0.6
2020-06-11 00:39:00,0.0,0.0,12.454502241636572,-9.794,2.194,7.6,283.8957169892373,0.6119014721212437,0.6
2020-06-11 00:40:00,0.0,0.0,12.818753618431794,-9.794,2.194,7.6,283.8957169892373,0.6122165506231636,0.6
2020-06-11 00:41:00,0.0,0.0,12.818753618431794,-9.794,2.194,7.6,283.8957169892373,0.6125316291250836,0.6
2020-06-11 00:42:00,0.0,0.0,12.818753618431794,-9.794,2.194,7.6,283.8957169892373,0.6128467076270036,0.6
