,p_grid,p_wind,p_computing_system,computing_system_info.mpm0,computing_system_info.mpm1,carbon_intensity,battery_soc,battery_min_soc
2020-01-01 00:50:00,0.0,0.0,-8.581,1.781,6.8,350.14732375240465,0.5534119791666672,0.3
2020-01-01 00:51:00,0.0,0.0,-8.581,1.781,6.8,350.14732375240465,0.5525181250000005,0.3
2020-01-01 00:52:00,0.0,0.0,-8.581,1.781,6.8,350.14732375240465,0.5516242708333339,0.3
2020-01-01 00:53:00,0.0,0.0,-8.581,1.781,6.8,350.14732375240465,0.5507304166666672,0.3
2020-01-01 00:54:00,0.0,0.0,-8.581,1.781,6.8,350.14732375240465,0.5498365625000006,0.3
2020-01-01 00:55:00,0.0,0.0,-8.581,1.781,6.8,350.14732375240465,0.5489427083333339,0.3
2020-01-01 00:56:00,0.0,0.0,-8.581,1.781,6.8,350.14732375240465,0.5480488541666673,0.3
2020-01-01 00:57:00,0.0,0.0,-8.581,1.781,6.8,350.14732375240465,0.5471550000000006,0.3
2020-01-01 00:58:00,0.0,0.0,-8.581,1.781,6.8,350.14732375240465,0.546261145833334,0.3
2020-01-01 00:59:00,0.0,0.0,-8.581,1.781,6.8,350.14732375240465,0.5453672916666674,0.3
2020-01-01 01:00:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5444734375000008,0.3
2020-01-01 01:01:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5435795833333341,0.3
2020-01-01 01:02:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5426857291666675,0.3
2020-01-01 01:03:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5417918750000008,0.3
2020-01-01 01:04:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5408980208333342,0.3
2020-01-01 01:05:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5400041666666675,0.3
2020-01-01 01:06:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5391103125000009,0.3
2020-01-01 01:07:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5382164583333342,0.3
2020-01-01 01:08:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5373226041666676,0.3
2020-01-01 01:09:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5364287500000009,0.3
2020-01-01 01:10:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5355348958333344,0.3
2020-01-01 01:11:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5346410416666677,0.3
2020-01-01 01:12:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.533747187500001,0.3
2020-01-01 01:13:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5328533333333344,0.3
2020-01-01 01:14:00,0.0,0.0,-8.581,1.781,6.8,349.62840878408787,0.5319594791666677,0.3
2020-01-01 01:15:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5310656250000011,0.3
2020-01-01 01:16:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5301717708333344,0.3
2020-01-01 01:17:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5292779166666678,0.3
2020-01-01 01:18:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5283840625000011,0.3
2020-01-01 01:19:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5274902083333345,0.3
2020-01-01 01:20:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5265963541666678,0.3
2020-01-01 01:21:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5257025000000012,0.3
2020-01-01 01:22:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5248086458333346,0.3
2020-01-01 01:23:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.523914791666668,0.3
2020-01-01 01:24:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5230209375000013,0.3
2020-01-01 01:25:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5221270833333347,0.3
2020-01-01 01:26:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.521233229166668,0.3
2020-01-01 01:27:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5203393750000014,0.3
2020-01-01 01:28:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5194455208333347,0.3
2020-01-01 01:29:00,0.0,0.0,-8.581,1.781,6.8,346.90326233425054,0.5185516666666681,0.3
2020-01-01 01:30:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5176578125000014,0.3
2020-01-01 01:31:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5167639583333348,0.3
2020-01-01 01:32:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5158701041666681,0.3
2020-01-01 01:33:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5149762500000016,0.3
2020-01-01 01:34:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5140823958333349,0.3
2020-01-01 01:35:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5131885416666683,0.3
2020-01-01 01:36:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5122946875000016,0.3
2020-01-01 01:37:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.511400833333335,0.3
2020-01-01 01:38:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5105069791666683,0.3
2020-01-01 01:39:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5096131250000017,0.3
2020-01-01 01:40:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.508719270833335,0.3
2020-01-01 01:41:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5078254166666684,0.3
2020-01-01 01:42:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5069315625000017,0.3
2020-01-01 01:43:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5060377083333351,0.3
2020-01-01 01:44:00,0.0,0.0,-8.581,1.781,6.8,346.3731186321848,0.5051438541666685,0.3
2020-01-01 01:45:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.5042500000000019,0.3
2020-01-01 01:46:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.5033561458333352,0.3
2020-01-01 01:47:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.5024622916666686,0.3
2020-01-01 01:48:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.5015684375000019,0.3
2020-01-01 01:49:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.5006745833333353,0.3
2020-01-01 01:50:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.4997807291666686,0.3
2020-01-01 01:51:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.49888687500000195,0.3
2020-01-01 01:52:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.4979930208333353,0.3
2020-01-01 01:53:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.4970991666666687,0.3
2020-01-01 01:54:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.49620531250000205,0.3
2020-01-01 01:55:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.4953114583333354,0.3
2020-01-01 01:56:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.49441760416666874,0.3
2020-01-01 01:57:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.4935237500000021,0.3
2020-01-01 01:58:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.49262989583333544,0.3
2020-01-01 01:59:00,0.0,0.0,-8.581,1.781,6.8,347.5169184596812,0.49173604166666884,0.3
2020-01-01 02:00:00,0.0,0.0,-8.581,1.781,6.8,347.67481789802287,0.4908421875000022,0.3
2020-01-01 02:01:00,0.0,0.0,-8.581,1.781,6.8,347.67481789802287,0.48994833333333554,0.3
2020-01-01 02:02:00,0.0,0.0,-8.581,1.781,6.8,347.67481789802287,0.4890544791666689,0.3
2020-01-01 02:03:00,0.0,0.0,-8.581,1.781,6.8,347.67481789802287,0.48816062500000224,0.3
2020-01-01 02:04:00,0.0,0.0,-8.581,1.781,6.8,347.67481789802287,0.48726677083333564,0.3
